train_loss,val_loss,train_acc,val_acc,train_prec,val_prec,train_rec,val_rec,train_f1,val_f1,train_dice,val_dice
0.18716626899821737,0.19661220123893336,0.9946327343165318,0.9943336781702543,0.8372276609189042,0.8259297515216627,0.8705911608499901,0.8692574375554135,0.8535288828555668,0.8470323399493569,0.8535293557933558,0.8470328293348613
0.18349631673821779,0.19095682862557864,0.9947064078856851,0.9943626146567496,0.8403871298950409,0.8211048966959903,0.8707732892482081,0.8797738803060431,0.8552484055545843,0.8494211717655784,0.8552488885193228,0.8494216486027366
0.17544070916755178,0.15236441712630422,0.9949165370976814,0.9956519195907995,0.8464225669887578,0.8674580423455489,0.8763324518070043,0.8964226998780903,0.8610515321526572,0.8816960265761927,0.8610520056474988,0.8816965002762643
0.16781895976757336,0.15244559943675995,0.9951440263017316,0.9956108143455104,0.8529429363313122,0.8657210939808896,0.8815626658011819,0.8961535817698428,0.8669732903765741,0.8806676331319307,0.8669737649855213,0.8806680942836561
0.1667262240548,0.15281051005187787,0.9951601073006603,0.9955865929001256,0.853981586817269,0.8640090227127075,0.8813328525730383,0.8969735001262865,0.8673976136145191,0.880175552870098,0.8673980971363103,0.8801760391185158
0.16396445342313462,0.15155274617044548,0.9952250730211489,0.9956088191584537,0.8560109957356319,0.8674011512806541,0.8827441084050687,0.8936759484441656,0.8691434525997839,0.8803340196609497,0.8691439266516784,0.8803344745385019
0.16184495751545808,0.14889932227762123,0.9952756400420287,0.9956212702550387,0.8571875774971792,0.8588852098113612,0.8842001273253254,0.906684232385535,0.8704316883443672,0.8821315294817874,0.8704321557116286,0.8821320125931188
0.16009096856986252,0.14625602725305056,0.9953149211740939,0.9957296377734134,0.8589540664280686,0.8705506826701918,0.8845360462910661,0.8971348781334726,0.8715290048412073,0.883634444914366,0.8715294905912097,0.8836349248886108
0.16039500253222813,0.14590825062049062,0.995289744617783,0.9957253399648165,0.8583059104803566,0.8695074915885925,0.8838697426787047,0.8983164649260672,0.8708596563784876,0.8836695112680134,0.8708601315444875,0.8836699943793448
0.15761092987573036,0.14596627731072276,0.9953640799656093,0.9957063543169122,0.8604772235745581,0.8687605073577479,0.8854824928479774,0.8980877744524103,0.8727692270947394,0.8831741809844971,0.8727697039318976,0.8831746609587419
0.15842523098548997,0.1445492058992386,0.9953204560502668,0.9957531753339266,0.8589611298570009,0.8720434841356779,0.8846353481863146,0.896623294604452,0.8715782260226312,0.8841504580096194,0.8715786950610508,0.8841509411209508
0.1546798890160623,0.14253844242346914,0.9954289342755469,0.9958186494676691,0.8625498558873328,0.876798855630975,0.8867917701462719,0.8943259810146532,0.8744763386583774,0.8854666822835019,0.8744768149384828,0.885467130886881
0.153811549054128,0.1409221926802083,0.995442332508408,0.9958260906370062,0.862990795451904,0.8723107168548986,0.8873444188421018,0.9009376607443157,0.8749620062168514,0.8863830597777116,0.8749624791546403,0.8863835334777832
0.15225770958116122,0.13834375456759804,0.9954807780613409,0.9958798383411608,0.8638888920579001,0.8705390064339888,0.8884050651131389,0.9068489419786554,0.8759432273490406,0.8883130895464044,0.8759437025150406,0.8883135695206491
0.15098178999446263,0.14730381808782878,0.9955130425569053,0.9956404190314444,0.8655850324675302,0.8740209403790926,0.888242051423153,0.8866445296689084,0.8767211576488531,0.8802770501688907,0.8767216328148529,0.880277511320616
